id,question,mark,quizId,options
310,Ever prevent woman administration authority.,2,50,"[{'id': 1237, 'text': 'hospital', 'isCorrect': True, 'questionId': 310}, {'id': 1238, 'text': 'education', 'isCorrect': False, 'questionId': 310}, {'id': 1239, 'text': 'after', 'isCorrect': False, 'questionId': 310}, {'id': 1240, 'text': 'attack', 'isCorrect': False, 'questionId': 310}]"
311,Future recent order decade one include.,3,50,"[{'id': 1241, 'text': 'teach', 'isCorrect': True, 'questionId': 311}, {'id': 1242, 'text': 'evening', 'isCorrect': False, 'questionId': 311}, {'id': 1243, 'text': 'couple', 'isCorrect': False, 'questionId': 311}, {'id': 1244, 'text': 'travel', 'isCorrect': False, 'questionId': 311}]"
312,Again fast hospital none tonight color free.,5,50,"[{'id': 1245, 'text': 'summer', 'isCorrect': True, 'questionId': 312}, {'id': 1246, 'text': 'thank', 'isCorrect': False, 'questionId': 312}, {'id': 1247, 'text': 'operation', 'isCorrect': False, 'questionId': 312}, {'id': 1248, 'text': 'age', 'isCorrect': False, 'questionId': 312}]"
313,Federal black line.,5,50,"[{'id': 1249, 'text': 'meet', 'isCorrect': True, 'questionId': 313}, {'id': 1250, 'text': 'movement', 'isCorrect': False, 'questionId': 313}, {'id': 1251, 'text': 'wide', 'isCorrect': False, 'questionId': 313}, {'id': 1252, 'text': 'different', 'isCorrect': False, 'questionId': 313}]"
314,Democratic practice garden information factor.,1,50,"[{'id': 1253, 'text': 'prove', 'isCorrect': True, 'questionId': 314}, {'id': 1254, 'text': 'parent', 'isCorrect': False, 'questionId': 314}, {'id': 1255, 'text': 'across', 'isCorrect': False, 'questionId': 314}, {'id': 1256, 'text': 'also', 'isCorrect': False, 'questionId': 314}]"
315,Series anyone avoid not because.,2,50,"[{'id': 1257, 'text': 'east', 'isCorrect': True, 'questionId': 315}, {'id': 1258, 'text': 'ten', 'isCorrect': False, 'questionId': 315}, {'id': 1259, 'text': 'growth', 'isCorrect': False, 'questionId': 315}, {'id': 1260, 'text': 'change', 'isCorrect': False, 'questionId': 315}]"
316,Approach five media test price character especially.,4,51,"[{'id': 1261, 'text': 'majority', 'isCorrect': True, 'questionId': 316}, {'id': 1262, 'text': 'brother', 'isCorrect': False, 'questionId': 316}, {'id': 1263, 'text': 'smile', 'isCorrect': False, 'questionId': 316}, {'id': 1264, 'text': 'specific', 'isCorrect': False, 'questionId': 316}]"
317,Machine recognize middle whose.,2,51,"[{'id': 1265, 'text': 'couple', 'isCorrect': True, 'questionId': 317}, {'id': 1266, 'text': 'site', 'isCorrect': False, 'questionId': 317}, {'id': 1267, 'text': 'too', 'isCorrect': False, 'questionId': 317}, {'id': 1268, 'text': 'want', 'isCorrect': False, 'questionId': 317}]"
318,Rich manager college of hot.,1,51,"[{'id': 1269, 'text': 'goal', 'isCorrect': True, 'questionId': 318}, {'id': 1270, 'text': 'end', 'isCorrect': False, 'questionId': 318}, {'id': 1271, 'text': 'follow', 'isCorrect': False, 'questionId': 318}, {'id': 1272, 'text': 'opportunity', 'isCorrect': False, 'questionId': 318}]"
319,Same particular from tonight.,5,51,"[{'id': 1273, 'text': 'culture', 'isCorrect': True, 'questionId': 319}, {'id': 1274, 'text': 'nation', 'isCorrect': False, 'questionId': 319}, {'id': 1275, 'text': 'pattern', 'isCorrect': False, 'questionId': 319}, {'id': 1276, 'text': 'little', 'isCorrect': False, 'questionId': 319}]"
320,Car student modern matter surface along.,5,51,"[{'id': 1277, 'text': 'west', 'isCorrect': True, 'questionId': 320}, {'id': 1278, 'text': 'should', 'isCorrect': False, 'questionId': 320}, {'id': 1279, 'text': 'main', 'isCorrect': False, 'questionId': 320}, {'id': 1280, 'text': 'interest', 'isCorrect': False, 'questionId': 320}]"
321,Six space far.,5,51,"[{'id': 1281, 'text': 'strategy', 'isCorrect': True, 'questionId': 321}, {'id': 1282, 'text': 'professor', 'isCorrect': False, 'questionId': 321}, {'id': 1283, 'text': 'carry', 'isCorrect': False, 'questionId': 321}, {'id': 1284, 'text': 'along', 'isCorrect': False, 'questionId': 321}]"
322,Degree daughter control act despite order.,2,51,"[{'id': 1285, 'text': 'yet', 'isCorrect': True, 'questionId': 322}, {'id': 1286, 'text': 'fire', 'isCorrect': False, 'questionId': 322}, {'id': 1287, 'text': 'dark', 'isCorrect': False, 'questionId': 322}, {'id': 1288, 'text': 'case', 'isCorrect': False, 'questionId': 322}]"
323,Night eat different address much good.,3,51,"[{'id': 1289, 'text': 'defense', 'isCorrect': True, 'questionId': 323}, {'id': 1290, 'text': 'green', 'isCorrect': False, 'questionId': 323}, {'id': 1291, 'text': 'might', 'isCorrect': False, 'questionId': 323}, {'id': 1292, 'text': 'clearly', 'isCorrect': False, 'questionId': 323}]"
324,Consider might good fall.,3,52,"[{'id': 1293, 'text': 'collection', 'isCorrect': True, 'questionId': 324}, {'id': 1294, 'text': 'officer', 'isCorrect': False, 'questionId': 324}, {'id': 1295, 'text': 'over', 'isCorrect': False, 'questionId': 324}, {'id': 1296, 'text': 'itself', 'isCorrect': False, 'questionId': 324}]"
325,Reflect education between she quality.,1,52,"[{'id': 1297, 'text': 'world', 'isCorrect': True, 'questionId': 325}, {'id': 1298, 'text': 'involve', 'isCorrect': False, 'questionId': 325}, {'id': 1299, 'text': 'interview', 'isCorrect': False, 'questionId': 325}, {'id': 1300, 'text': 'on', 'isCorrect': False, 'questionId': 325}]"
326,Population consumer organization find record sport.,3,52,"[{'id': 1301, 'text': 'agency', 'isCorrect': True, 'questionId': 326}, {'id': 1302, 'text': 'thank', 'isCorrect': False, 'questionId': 326}, {'id': 1303, 'text': 'detail', 'isCorrect': False, 'questionId': 326}, {'id': 1304, 'text': 'control', 'isCorrect': False, 'questionId': 326}]"
327,Professor recognize behavior above.,5,52,"[{'id': 1305, 'text': 'pressure', 'isCorrect': True, 'questionId': 327}, {'id': 1306, 'text': 'town', 'isCorrect': False, 'questionId': 327}, {'id': 1307, 'text': 'part', 'isCorrect': False, 'questionId': 327}, {'id': 1308, 'text': 'plant', 'isCorrect': False, 'questionId': 327}]"
328,Art group leave where whatever trip.,5,52,"[{'id': 1309, 'text': 'record', 'isCorrect': True, 'questionId': 328}, {'id': 1310, 'text': 'recognize', 'isCorrect': False, 'questionId': 328}, {'id': 1311, 'text': 'imagine', 'isCorrect': False, 'questionId': 328}, {'id': 1312, 'text': 'beautiful', 'isCorrect': False, 'questionId': 328}]"
329,Majority man special quality.,4,52,"[{'id': 1313, 'text': 'however', 'isCorrect': True, 'questionId': 329}, {'id': 1314, 'text': 'after', 'isCorrect': False, 'questionId': 329}, {'id': 1315, 'text': 'policy', 'isCorrect': False, 'questionId': 329}, {'id': 1316, 'text': 'least', 'isCorrect': False, 'questionId': 329}]"
330,Then medical exist word goal.,3,53,"[{'id': 1317, 'text': 'response', 'isCorrect': True, 'questionId': 330}, {'id': 1318, 'text': 'live', 'isCorrect': False, 'questionId': 330}, {'id': 1319, 'text': 'do', 'isCorrect': False, 'questionId': 330}, {'id': 1320, 'text': 'building', 'isCorrect': False, 'questionId': 330}]"
331,Assume success never score experience.,5,53,"[{'id': 1321, 'text': 'remain', 'isCorrect': True, 'questionId': 331}, {'id': 1322, 'text': 'million', 'isCorrect': False, 'questionId': 331}, {'id': 1323, 'text': 'business', 'isCorrect': False, 'questionId': 331}, {'id': 1324, 'text': 'century', 'isCorrect': False, 'questionId': 331}]"
332,Write meeting grow individual require matter wide course.,2,53,"[{'id': 1325, 'text': 'state', 'isCorrect': True, 'questionId': 332}, {'id': 1326, 'text': 'deal', 'isCorrect': False, 'questionId': 332}, {'id': 1327, 'text': 'tonight', 'isCorrect': False, 'questionId': 332}, {'id': 1328, 'text': 'develop', 'isCorrect': False, 'questionId': 332}]"
333,Score nation color enjoy school.,2,53,"[{'id': 1329, 'text': 'many', 'isCorrect': True, 'questionId': 333}, {'id': 1330, 'text': 'civil', 'isCorrect': False, 'questionId': 333}, {'id': 1331, 'text': 'Congress', 'isCorrect': False, 'questionId': 333}, {'id': 1332, 'text': 'building', 'isCorrect': False, 'questionId': 333}]"
334,Security pattern easy Congress focus interview.,2,53,"[{'id': 1333, 'text': 'degree', 'isCorrect': True, 'questionId': 334}, {'id': 1334, 'text': 'worker', 'isCorrect': False, 'questionId': 334}, {'id': 1335, 'text': 'establish', 'isCorrect': False, 'questionId': 334}, {'id': 1336, 'text': 'rich', 'isCorrect': False, 'questionId': 334}]"
335,Past interview begin change money.,2,53,"[{'id': 1337, 'text': 'form', 'isCorrect': True, 'questionId': 335}, {'id': 1338, 'text': 'minute', 'isCorrect': False, 'questionId': 335}, {'id': 1339, 'text': 'I', 'isCorrect': False, 'questionId': 335}, {'id': 1340, 'text': 'policy', 'isCorrect': False, 'questionId': 335}]"
336,Window pass within company again the around.,5,54,"[{'id': 1341, 'text': 'ask', 'isCorrect': True, 'questionId': 336}, {'id': 1342, 'text': 'room', 'isCorrect': False, 'questionId': 336}, {'id': 1343, 'text': 'usually', 'isCorrect': False, 'questionId': 336}, {'id': 1344, 'text': 'operation', 'isCorrect': False, 'questionId': 336}]"
337,Question staff right room majority.,4,54,"[{'id': 1345, 'text': 'left', 'isCorrect': True, 'questionId': 337}, {'id': 1346, 'text': 'fish', 'isCorrect': False, 'questionId': 337}, {'id': 1347, 'text': 'eight', 'isCorrect': False, 'questionId': 337}, {'id': 1348, 'text': 'total', 'isCorrect': False, 'questionId': 337}]"
338,Well power want believe.,2,54,"[{'id': 1349, 'text': 'relationship', 'isCorrect': True, 'questionId': 338}, {'id': 1350, 'text': 'contain', 'isCorrect': False, 'questionId': 338}, {'id': 1351, 'text': 'add', 'isCorrect': False, 'questionId': 338}, {'id': 1352, 'text': 'Mr', 'isCorrect': False, 'questionId': 338}]"
339,Everyone west money relate receive country sound.,5,54,"[{'id': 1353, 'text': 'student', 'isCorrect': True, 'questionId': 339}, {'id': 1354, 'text': 'nothing', 'isCorrect': False, 'questionId': 339}, {'id': 1355, 'text': 'reach', 'isCorrect': False, 'questionId': 339}, {'id': 1356, 'text': 'week', 'isCorrect': False, 'questionId': 339}]"
340,Almost answer usually begin interview.,1,54,"[{'id': 1357, 'text': 'believe', 'isCorrect': True, 'questionId': 340}, {'id': 1358, 'text': 'at', 'isCorrect': False, 'questionId': 340}, {'id': 1359, 'text': 'catch', 'isCorrect': False, 'questionId': 340}, {'id': 1360, 'text': 'wall', 'isCorrect': False, 'questionId': 340}]"
341,Personal house hope garden listen able through meeting.,5,55,"[{'id': 1361, 'text': 'quality', 'isCorrect': True, 'questionId': 341}, {'id': 1362, 'text': 'conference', 'isCorrect': False, 'questionId': 341}, {'id': 1363, 'text': 'stuff', 'isCorrect': False, 'questionId': 341}, {'id': 1364, 'text': 'pull', 'isCorrect': False, 'questionId': 341}]"
342,And federal music ask world development offer.,4,55,"[{'id': 1365, 'text': 'voice', 'isCorrect': True, 'questionId': 342}, {'id': 1366, 'text': 'city', 'isCorrect': False, 'questionId': 342}, {'id': 1367, 'text': 'western', 'isCorrect': False, 'questionId': 342}, {'id': 1368, 'text': 'common', 'isCorrect': False, 'questionId': 342}]"
343,Least beyond ahead activity skin.,2,55,"[{'id': 1369, 'text': 'car', 'isCorrect': True, 'questionId': 343}, {'id': 1370, 'text': 'stand', 'isCorrect': False, 'questionId': 343}, {'id': 1371, 'text': 'defense', 'isCorrect': False, 'questionId': 343}, {'id': 1372, 'text': 'political', 'isCorrect': False, 'questionId': 343}]"
344,Experience partner rest.,2,55,"[{'id': 1373, 'text': 'arm', 'isCorrect': True, 'questionId': 344}, {'id': 1374, 'text': 'sit', 'isCorrect': False, 'questionId': 344}, {'id': 1375, 'text': 'window', 'isCorrect': False, 'questionId': 344}, {'id': 1376, 'text': 'protect', 'isCorrect': False, 'questionId': 344}]"
345,Key through federal building character list past.,5,55,"[{'id': 1377, 'text': 'edge', 'isCorrect': True, 'questionId': 345}, {'id': 1378, 'text': 'will', 'isCorrect': False, 'questionId': 345}, {'id': 1379, 'text': 'him', 'isCorrect': False, 'questionId': 345}, {'id': 1380, 'text': 'yes', 'isCorrect': False, 'questionId': 345}]"
346,Value consider develop nothing sure ground alone in.,3,55,"[{'id': 1381, 'text': 'raise', 'isCorrect': True, 'questionId': 346}, {'id': 1382, 'text': 'off', 'isCorrect': False, 'questionId': 346}, {'id': 1383, 'text': 'threat', 'isCorrect': False, 'questionId': 346}, {'id': 1384, 'text': 'Mrs', 'isCorrect': False, 'questionId': 346}]"
347,Movie nature until forward act.,5,56,"[{'id': 1385, 'text': 'piece', 'isCorrect': True, 'questionId': 347}, {'id': 1386, 'text': 'design', 'isCorrect': False, 'questionId': 347}, {'id': 1387, 'text': 'employee', 'isCorrect': False, 'questionId': 347}, {'id': 1388, 'text': 'ahead', 'isCorrect': False, 'questionId': 347}]"
348,Concern management century evidence.,4,56,"[{'id': 1389, 'text': 'start', 'isCorrect': True, 'questionId': 348}, {'id': 1390, 'text': 'research', 'isCorrect': False, 'questionId': 348}, {'id': 1391, 'text': 'bag', 'isCorrect': False, 'questionId': 348}, {'id': 1392, 'text': 'challenge', 'isCorrect': False, 'questionId': 348}]"
349,Foot hour series however home.,2,56,"[{'id': 1393, 'text': 'full', 'isCorrect': True, 'questionId': 349}, {'id': 1394, 'text': 'account', 'isCorrect': False, 'questionId': 349}, {'id': 1395, 'text': 'source', 'isCorrect': False, 'questionId': 349}, {'id': 1396, 'text': 'why', 'isCorrect': False, 'questionId': 349}]"
350,Measure actually machine prove cultural.,4,56,"[{'id': 1397, 'text': 'ever', 'isCorrect': True, 'questionId': 350}, {'id': 1398, 'text': 'prepare', 'isCorrect': False, 'questionId': 350}, {'id': 1399, 'text': 'sense', 'isCorrect': False, 'questionId': 350}, {'id': 1400, 'text': 'across', 'isCorrect': False, 'questionId': 350}]"
351,Government well always be policy.,2,56,"[{'id': 1401, 'text': 'friend', 'isCorrect': True, 'questionId': 351}, {'id': 1402, 'text': 'tough', 'isCorrect': False, 'questionId': 351}, {'id': 1403, 'text': 'itself', 'isCorrect': False, 'questionId': 351}, {'id': 1404, 'text': 'system', 'isCorrect': False, 'questionId': 351}]"
352,School wind increase west stock through campaign.,2,56,"[{'id': 1405, 'text': 'tend', 'isCorrect': True, 'questionId': 352}, {'id': 1406, 'text': 'similar', 'isCorrect': False, 'questionId': 352}, {'id': 1407, 'text': 'camera', 'isCorrect': False, 'questionId': 352}, {'id': 1408, 'text': 'film', 'isCorrect': False, 'questionId': 352}]"
353,White fund loss final.,2,57,"[{'id': 1409, 'text': 'movie', 'isCorrect': True, 'questionId': 353}, {'id': 1410, 'text': 'society', 'isCorrect': False, 'questionId': 353}, {'id': 1411, 'text': 'against', 'isCorrect': False, 'questionId': 353}, {'id': 1412, 'text': 'better', 'isCorrect': False, 'questionId': 353}]"
354,Shake common full necessary.,2,57,"[{'id': 1413, 'text': 'effort', 'isCorrect': True, 'questionId': 354}, {'id': 1414, 'text': 'suddenly', 'isCorrect': False, 'questionId': 354}, {'id': 1415, 'text': 'leader', 'isCorrect': False, 'questionId': 354}, {'id': 1416, 'text': 'relate', 'isCorrect': False, 'questionId': 354}]"
355,Bed he property tonight now.,2,57,"[{'id': 1417, 'text': 'eat', 'isCorrect': True, 'questionId': 355}, {'id': 1418, 'text': 'soon', 'isCorrect': False, 'questionId': 355}, {'id': 1419, 'text': 'husband', 'isCorrect': False, 'questionId': 355}, {'id': 1420, 'text': 'alone', 'isCorrect': False, 'questionId': 355}]"
356,Top five public cup yourself change.,1,57,"[{'id': 1421, 'text': 'stand', 'isCorrect': True, 'questionId': 356}, {'id': 1422, 'text': 'small', 'isCorrect': False, 'questionId': 356}, {'id': 1423, 'text': 'movie', 'isCorrect': False, 'questionId': 356}, {'id': 1424, 'text': 'alone', 'isCorrect': False, 'questionId': 356}]"
357,Gas rule see item southern.,4,57,"[{'id': 1425, 'text': 'chair', 'isCorrect': True, 'questionId': 357}, {'id': 1426, 'text': 'away', 'isCorrect': False, 'questionId': 357}, {'id': 1427, 'text': 'thank', 'isCorrect': False, 'questionId': 357}, {'id': 1428, 'text': 'subject', 'isCorrect': False, 'questionId': 357}]"
358,Newspaper against matter brother.,4,58,"[{'id': 1429, 'text': 'beat', 'isCorrect': True, 'questionId': 358}, {'id': 1430, 'text': 'officer', 'isCorrect': False, 'questionId': 358}, {'id': 1431, 'text': 'beyond', 'isCorrect': False, 'questionId': 358}, {'id': 1432, 'text': 'attack', 'isCorrect': False, 'questionId': 358}]"
359,Whatever case within no help daughter authority.,4,58,"[{'id': 1433, 'text': 'soon', 'isCorrect': True, 'questionId': 359}, {'id': 1434, 'text': 'war', 'isCorrect': False, 'questionId': 359}, {'id': 1435, 'text': 'capital', 'isCorrect': False, 'questionId': 359}, {'id': 1436, 'text': 'may', 'isCorrect': False, 'questionId': 359}]"
360,Long story choice I various capital weight.,1,58,"[{'id': 1437, 'text': 'behind', 'isCorrect': True, 'questionId': 360}, {'id': 1438, 'text': 'fear', 'isCorrect': False, 'questionId': 360}, {'id': 1439, 'text': 'color', 'isCorrect': False, 'questionId': 360}, {'id': 1440, 'text': 'increase', 'isCorrect': False, 'questionId': 360}]"
361,Create Democrat yard bar color quite read.,5,58,"[{'id': 1441, 'text': 'Congress', 'isCorrect': True, 'questionId': 361}, {'id': 1442, 'text': 'officer', 'isCorrect': False, 'questionId': 361}, {'id': 1443, 'text': 'community', 'isCorrect': False, 'questionId': 361}, {'id': 1444, 'text': 'pass', 'isCorrect': False, 'questionId': 361}]"
362,Season test beat building lay learn artist leg.,1,59,"[{'id': 1445, 'text': 'possible', 'isCorrect': True, 'questionId': 362}, {'id': 1446, 'text': 'door', 'isCorrect': False, 'questionId': 362}, {'id': 1447, 'text': 'beyond', 'isCorrect': False, 'questionId': 362}, {'id': 1448, 'text': 'wind', 'isCorrect': False, 'questionId': 362}]"
363,Western full any.,5,59,"[{'id': 1449, 'text': 'box', 'isCorrect': True, 'questionId': 363}, {'id': 1450, 'text': 'even', 'isCorrect': False, 'questionId': 363}, {'id': 1451, 'text': 'difference', 'isCorrect': False, 'questionId': 363}, {'id': 1452, 'text': 'American', 'isCorrect': False, 'questionId': 363}]"
364,Crime factor relate environment society.,1,59,"[{'id': 1453, 'text': 'appear', 'isCorrect': True, 'questionId': 364}, {'id': 1454, 'text': 'top', 'isCorrect': False, 'questionId': 364}, {'id': 1455, 'text': 'official', 'isCorrect': False, 'questionId': 364}, {'id': 1456, 'text': 'enough', 'isCorrect': False, 'questionId': 364}]"
365,Exist sort down west choice man religious several.,5,59,"[{'id': 1457, 'text': 'different', 'isCorrect': True, 'questionId': 365}, {'id': 1458, 'text': 'range', 'isCorrect': False, 'questionId': 365}, {'id': 1459, 'text': 'continue', 'isCorrect': False, 'questionId': 365}, {'id': 1460, 'text': 'take', 'isCorrect': False, 'questionId': 365}]"
366,Despite pull structure total because difficult better.,4,59,"[{'id': 1461, 'text': 'campaign', 'isCorrect': True, 'questionId': 366}, {'id': 1462, 'text': 'stand', 'isCorrect': False, 'questionId': 366}, {'id': 1463, 'text': 'protect', 'isCorrect': False, 'questionId': 366}, {'id': 1464, 'text': 'fact', 'isCorrect': False, 'questionId': 366}]"
367,Personal small page some authority near less.,3,59,"[{'id': 1465, 'text': 'everybody', 'isCorrect': True, 'questionId': 367}, {'id': 1466, 'text': 'against', 'isCorrect': False, 'questionId': 367}, {'id': 1467, 'text': 'statement', 'isCorrect': False, 'questionId': 367}, {'id': 1468, 'text': 'us', 'isCorrect': False, 'questionId': 367}]"
368,Should once they one probably great ball.,2,60,"[{'id': 1469, 'text': 'particular', 'isCorrect': True, 'questionId': 368}, {'id': 1470, 'text': 'herself', 'isCorrect': False, 'questionId': 368}, {'id': 1471, 'text': 'magazine', 'isCorrect': False, 'questionId': 368}, {'id': 1472, 'text': 'computer', 'isCorrect': False, 'questionId': 368}]"
369,North glass prepare reflect success record local.,2,60,"[{'id': 1473, 'text': 'manager', 'isCorrect': True, 'questionId': 369}, {'id': 1474, 'text': 'price', 'isCorrect': False, 'questionId': 369}, {'id': 1475, 'text': 'between', 'isCorrect': False, 'questionId': 369}, {'id': 1476, 'text': 'the', 'isCorrect': False, 'questionId': 369}]"
370,State amount then over.,1,60,"[{'id': 1477, 'text': 'television', 'isCorrect': True, 'questionId': 370}, {'id': 1478, 'text': 'media', 'isCorrect': False, 'questionId': 370}, {'id': 1479, 'text': 'toward', 'isCorrect': False, 'questionId': 370}, {'id': 1480, 'text': 'cause', 'isCorrect': False, 'questionId': 370}]"
371,Political you effort.,3,60,"[{'id': 1481, 'text': 'share', 'isCorrect': True, 'questionId': 371}, {'id': 1482, 'text': 'deal', 'isCorrect': False, 'questionId': 371}, {'id': 1483, 'text': 'next', 'isCorrect': False, 'questionId': 371}, {'id': 1484, 'text': 'pick', 'isCorrect': False, 'questionId': 371}]"
372,Former day of probably return.,2,61,"[{'id': 1485, 'text': 'sister', 'isCorrect': True, 'questionId': 372}, {'id': 1486, 'text': 'good', 'isCorrect': False, 'questionId': 372}, {'id': 1487, 'text': 'loss', 'isCorrect': False, 'questionId': 372}, {'id': 1488, 'text': 'military', 'isCorrect': False, 'questionId': 372}]"
373,Act shoulder star sort fish whether admit return.,2,61,"[{'id': 1489, 'text': 'compare', 'isCorrect': True, 'questionId': 373}, {'id': 1490, 'text': 'here', 'isCorrect': False, 'questionId': 373}, {'id': 1491, 'text': 'meeting', 'isCorrect': False, 'questionId': 373}, {'id': 1492, 'text': 'notice', 'isCorrect': False, 'questionId': 373}]"
374,Whole news court see nature.,5,61,"[{'id': 1493, 'text': 'tell', 'isCorrect': True, 'questionId': 374}, {'id': 1494, 'text': 'involve', 'isCorrect': False, 'questionId': 374}, {'id': 1495, 'text': 'add', 'isCorrect': False, 'questionId': 374}, {'id': 1496, 'text': 'likely', 'isCorrect': False, 'questionId': 374}]"
375,Push stop central foot candidate affect give through.,3,61,"[{'id': 1497, 'text': 'message', 'isCorrect': True, 'questionId': 375}, {'id': 1498, 'text': 'price', 'isCorrect': False, 'questionId': 375}, {'id': 1499, 'text': 'each', 'isCorrect': False, 'questionId': 375}, {'id': 1500, 'text': 'control', 'isCorrect': False, 'questionId': 375}]"
376,Heavy how I week accept.,2,61,"[{'id': 1501, 'text': 'long', 'isCorrect': True, 'questionId': 376}, {'id': 1502, 'text': 'most', 'isCorrect': False, 'questionId': 376}, {'id': 1503, 'text': 'my', 'isCorrect': False, 'questionId': 376}, {'id': 1504, 'text': 'professional', 'isCorrect': False, 'questionId': 376}]"
377,Religious red dream.,5,61,"[{'id': 1505, 'text': 'federal', 'isCorrect': True, 'questionId': 377}, {'id': 1506, 'text': 'opportunity', 'isCorrect': False, 'questionId': 377}, {'id': 1507, 'text': 'ten', 'isCorrect': False, 'questionId': 377}, {'id': 1508, 'text': 'election', 'isCorrect': False, 'questionId': 377}]"
378,Scene opportunity current himself in think laugh develop.,2,61,"[{'id': 1509, 'text': 'modern', 'isCorrect': True, 'questionId': 378}, {'id': 1510, 'text': 'media', 'isCorrect': False, 'questionId': 378}, {'id': 1511, 'text': 'enjoy', 'isCorrect': False, 'questionId': 378}, {'id': 1512, 'text': 'candidate', 'isCorrect': False, 'questionId': 378}]"
379,Tv protect good similar.,5,62,"[{'id': 1513, 'text': 'former', 'isCorrect': True, 'questionId': 379}, {'id': 1514, 'text': 'relationship', 'isCorrect': False, 'questionId': 379}, {'id': 1515, 'text': 'image', 'isCorrect': False, 'questionId': 379}, {'id': 1516, 'text': 'billion', 'isCorrect': False, 'questionId': 379}]"
380,Training ask poor poor officer song structure.,4,62,"[{'id': 1517, 'text': 'art', 'isCorrect': True, 'questionId': 380}, {'id': 1518, 'text': 'employee', 'isCorrect': False, 'questionId': 380}, {'id': 1519, 'text': 'language', 'isCorrect': False, 'questionId': 380}, {'id': 1520, 'text': 'fine', 'isCorrect': False, 'questionId': 380}]"
381,Young late section some agency late prevent fund.,3,62,"[{'id': 1521, 'text': 'item', 'isCorrect': True, 'questionId': 381}, {'id': 1522, 'text': 'individual', 'isCorrect': False, 'questionId': 381}, {'id': 1523, 'text': 'evidence', 'isCorrect': False, 'questionId': 381}, {'id': 1524, 'text': 'help', 'isCorrect': False, 'questionId': 381}]"
382,Own go culture exist defense.,3,62,"[{'id': 1525, 'text': 'wait', 'isCorrect': True, 'questionId': 382}, {'id': 1526, 'text': 'PM', 'isCorrect': False, 'questionId': 382}, {'id': 1527, 'text': 'wide', 'isCorrect': False, 'questionId': 382}, {'id': 1528, 'text': 'everyone', 'isCorrect': False, 'questionId': 382}]"
383,Soon cut argue these hope debate.,2,62,"[{'id': 1529, 'text': 'ground', 'isCorrect': True, 'questionId': 383}, {'id': 1530, 'text': 'rate', 'isCorrect': False, 'questionId': 383}, {'id': 1531, 'text': 'boy', 'isCorrect': False, 'questionId': 383}, {'id': 1532, 'text': 'toward', 'isCorrect': False, 'questionId': 383}]"
384,Eat morning arrive professor before indicate hand music.,1,62,"[{'id': 1533, 'text': 'box', 'isCorrect': True, 'questionId': 384}, {'id': 1534, 'text': 'worry', 'isCorrect': False, 'questionId': 384}, {'id': 1535, 'text': 'for', 'isCorrect': False, 'questionId': 384}, {'id': 1536, 'text': 'age', 'isCorrect': False, 'questionId': 384}]"
385,Partner wife use feel piece.,5,62,"[{'id': 1537, 'text': 'drive', 'isCorrect': True, 'questionId': 385}, {'id': 1538, 'text': 'figure', 'isCorrect': False, 'questionId': 385}, {'id': 1539, 'text': 'nice', 'isCorrect': False, 'questionId': 385}, {'id': 1540, 'text': 'field', 'isCorrect': False, 'questionId': 385}]"
386,Radio tonight operation politics across industry now.,3,62,"[{'id': 1541, 'text': 'recently', 'isCorrect': True, 'questionId': 386}, {'id': 1542, 'text': 'together', 'isCorrect': False, 'questionId': 386}, {'id': 1543, 'text': 'huge', 'isCorrect': False, 'questionId': 386}, {'id': 1544, 'text': 'market', 'isCorrect': False, 'questionId': 386}]"
387,Head three usually what attorney.,2,62,"[{'id': 1545, 'text': 'laugh', 'isCorrect': True, 'questionId': 387}, {'id': 1546, 'text': 'Mrs', 'isCorrect': False, 'questionId': 387}, {'id': 1547, 'text': 'appear', 'isCorrect': False, 'questionId': 387}, {'id': 1548, 'text': 'fact', 'isCorrect': False, 'questionId': 387}]"
388,Impact ask fish care chair build professional its.,5,63,"[{'id': 1549, 'text': 'painting', 'isCorrect': True, 'questionId': 388}, {'id': 1550, 'text': 'necessary', 'isCorrect': False, 'questionId': 388}, {'id': 1551, 'text': 'although', 'isCorrect': False, 'questionId': 388}, {'id': 1552, 'text': 'involve', 'isCorrect': False, 'questionId': 388}]"
389,Trip east peace little when.,4,63,"[{'id': 1553, 'text': 'process', 'isCorrect': True, 'questionId': 389}, {'id': 1554, 'text': 'walk', 'isCorrect': False, 'questionId': 389}, {'id': 1555, 'text': 'small', 'isCorrect': False, 'questionId': 389}, {'id': 1556, 'text': 'economic', 'isCorrect': False, 'questionId': 389}]"
390,Will ok school shake three.,4,63,"[{'id': 1557, 'text': 'very', 'isCorrect': True, 'questionId': 390}, {'id': 1558, 'text': 'share', 'isCorrect': False, 'questionId': 390}, {'id': 1559, 'text': 'compare', 'isCorrect': False, 'questionId': 390}, {'id': 1560, 'text': 'least', 'isCorrect': False, 'questionId': 390}]"
391,Season read suffer help.,3,63,"[{'id': 1561, 'text': 'school', 'isCorrect': True, 'questionId': 391}, {'id': 1562, 'text': 'source', 'isCorrect': False, 'questionId': 391}, {'id': 1563, 'text': 'month', 'isCorrect': False, 'questionId': 391}, {'id': 1564, 'text': 'could', 'isCorrect': False, 'questionId': 391}]"
